"N","Implementacion","Promedio_ms","Desvio_ms","Min_ms","Max_ms","Speedup_vs_SerialProm"
"100","Serial_O2","0,479","0,043","0,445","0,559","1"
"100","Threads_4","1,002","0,122","0,856","1,224","0,48"
"100","Threads_8","1,054","0,056","0,999","1,203","0,45"
"100","Procesos_4","15,051","0,486","13,99","16","0,03"
"500","Serial_O2","52,96","1,863","51,162","57,486","1"
"500","Threads_4","15,599","0,861","14,669","17,414","3,4"
"500","Threads_8","12,485","0,727","11,318","13,515","4,24"
"500","Procesos_4","30,658","2,57","28,429","36,421","1,73"
"1000","Serial_O2","424,679","11,964","408,409","438,456","1"
"1000","Threads_4","117,669","7,505","105,497","130,888","3,61"
"1000","Threads_8","87,048","8,411","79,614","111,036","4,88"
"1000","Procesos_4","135,798","7,949","126,179","154,005","3,13"
"2000","Serial_O2","3440,3","13,051","3423,483","3463,339","1"
"2000","Threads_4","940,58","14,266","918,177","962,783","3,66"
"2000","Threads_8","658,223","17,374","632,544","695,514","5,23"
"2000","Procesos_4","957,275","25,177","913,438","1002,661","3,59"
